Unnamed: 0,Text_Data,Category
0.0,"000 0001364 00000000 001 001 01364 INS: 0 0 Please post payment for: AvidXchange, Inc. No.0507046680 Reserve at Inglewood PO BOX 36250 Nova Association Management Partners LLC CHARLOTTE, NC 28236 Payment ID: 300348 Payment ID: 300348 . Payment delivered by AvidPay Bill Payment Payment delivered by AvidPay Bill Payment wees INVOICE NO INVOICE DATE DESCRIPTION GROSS DISCOUNT NET 090721 CKREQ 09/07/2021 14,442.30 14,442.30 TOTALS: 14,442.30 WARNING: THIS DOCUMENT CONTAINS SEVERAL DOCUMENT SECURITY FEATURES - DO NOT CASH IF THE WORD VOID IS VISIBLE - SEE REVERSE SIDE FOR LIST OF SECURITY ose —.— c i FEATURES Please post payment for: AvidXchange, Inc. CHECKNO. 0507046680 — , | 4 Reserve at Inglewood PO BOX 36250 6-103/410 @ Nova Association Management Partners LLC CHARLOTTE, NC 28236 KeyBank National Association Payment ID: 300348 704-808-7891 Payment delivered by AvidPay Bill Payment 6-103/410 : DATE AMOUNT | MEMO —“ Please review check stub for payment application 09/09/2021 SkeKKKKKLA, 442.30 PAY Fourteen Thousand Four Hundred Forty Two And 30/100 Dollars : VOID AFTER 90 DAYS oe a THE RESERVE AT INGLEWOOD HOMEOWNERS A | 2018 156TH AVE NE | BELLEVUE, WA 98007-3825 AUTHORIZED SIGNATURE o ""MOSO?7O0LEE80"""" HOLLOOL039H 345968 )584ec 51""",invoices
1.0,"€/@ LES000 Account number 83141467 Page 2 of 4 PHILADELPHIA INSURANCE COMPANIES PSR PE Le GAT RIE Es BORO AR A RO Ae ree BUSTS EL OES BUF LS FO SEO VS OTS CT Your account summary Current month breakdown Term / Premium Premium Current installment Taxes / Payment / Current balance Product Policy Bill plan charged ($) applied ($) amount ($) © surcharge ($) © Fees ($)t © credits © due ($) 83141467 Rosedale Townhomes Homeowners Association Homeowner Assn. Pkg PHPK2220699 02/28/21 - 22 228.00 -228.00 -209.00 0.00 0.00 -209.00 0.00 Fixed Annual loft 228 00 228 00 209.00 0.00 0.00 209.00 0,00 Condominium Pkg. PHPK2324752 09/03/21 - 22 7,308.00 -203.00 1,827.25 0.00 0.00 209,00 1,618.25 25% Down & 9 Monthly Installments 7,309.06 209 00 1,827.25 lo 00 0.00 209.00 1,618.25 Payments will bejallocatad towards these charges first Total Balance: 1,618.25 Applications, policy forms, risk management services, and claims management services are available at www.phly.com ""Denotes change in term premium ‘***Denotes the 25% down and ‘st installment billed together May include installment fee",invoices
2.0,"i“ CITY OF SEATTLE Seattle Public Utilities Bill “_ Pay your bill:ontine at myutilities, seattle.gov Pi Questions? Visit us.on the web at seattle, qoviutilities (51124484485 Or call’206-684-3000 or 1-800-852-1181 {out of area calls only) Account Number. 8513650000: Summary of charges as of September 21, 2021 TAYLOR.CONDO.HOA Payments received after September 21, 2021 are notreflected. asses Sa Seth AVENE Previous balance: 1,690.92 BELLEVUE WA 98007-3825 September 02, 2021 Payment~ THANK YOU: 1 690.92 CR’ Balance: 0.00 Curreni billing: 1,808.57 Proporty Owtier TOTAL.AMOUNT DUE ON October 12, 2021 $1,808.57 TAYLOR CONDO HOA Service Address 1511-25 TAYLOR AVE N Customers are responsible for all account charges through the day the account is closed. Account closings cannot be backdated further than the most recent bill date. For more.information about opening and closing accounts, and other account related service visit www.seatile.gov/util/myservices. No food scraps and. composiable paper in the garbage. 1 BOMpare YOUr Waren Sage aa sscsssessesesesesansonsgvesnssseqeenenscseensanescesageotestoctussntsietnseagquenteaiseneyeenseaenenteeeiegicentanisensushetsayiceetuneastsecegesasensneseneae A 3.214 — - =. : “ree ° ’ on | Oe a This Bill Period Same Period Last Year 2,410 i en | c No. of days: 28 No. of days: 34 FE a 2 . ; : ; ¢ 1807 tae ‘ i : is : Consumption in-COF: 30 . Consumption in GCF: 8&3 do. ie eS ; Avg consuniption/day: 3.214 CCF Avg consumption/day: 2.441 CCF a 0. , - oe ee ae 2 a ‘Gonsurmption in gals: 67320 ‘Consumption in gals: 62084 6.00 “y cH SS a wee eBoy ey . Bia APR: May’ UN UL AUG SEP Avg consumption/day; 2404. 29 gais Avg consumption/day: 1826. 06 gals Light - Previous Year -Dark- Current Year 1.COF = 748 Gallons Plaase lear off: temittance stub below and. mail it’ with your payment in tie enclosed retain envelope, SEREP ERRATA PEASE TER CREA AE PES PAH h Ad PE aR Ee eet E e EPH S PSHE PET POF NEES ETEK PEATE TP PSR ER EE TREO ETS RAS ERR E TE PET PERSP EASE EATER ER CER EE EPR EERE EE REE RT PES RE RE a ae EE REA REE ERE H EE RARE AE EAA REPRE EEE EASA CEMA ERR PSEA ER ET RAE EERE PEL EGE Plaase do not write messages on the bill stub - instead, write to us on a separate sheet or amaif SPUCustomerSeivice@seatile. gov. Please include your account number, Seattle Public Utilities Bill DUE DATE: October 12,2021 Service Address: 1511-25 TAYLOR AVEN TOTAL AMOUNT DUE: $1,808.57 Property Owner: TAYLOR CONDO.HOA Enter Amount Paid: $_ Account Number: 8513650000 et Amount Pai on check Please do not. send cash: WEEP. Make cheok wets payable and mail fo: TAYLOR CONDO HOA | | | PROPVIVO Lofgeeg ULL ag EEA MEL [fet PE pepe eg] EU fence 2018 iS6THAVE NE as BELLEVUE WA $8007-3825 CITY OF SEATTLE AAD ean ees teen ele al dpe Eada PO: BOX 35177 SEATILE WA 98124-51.77 24513b50000700000000018085? CITY OF SEATTLE Account Number 8513650000 TAYLOR CONDO HOA PROPVIVO 2018 156THAVENE: BELLEVUE WA 98007-3825 Property Owner TAYLOR CONDO HOA Service. Address 1511-268 TAYLOR AVEN BES MeG re hd the She hese SPA ded PRA PE MEE Ed HEs PEPER RE SEE REE LES ES EE PES PaE EE RS Pewee ee ha Seattle Public Utilities Bill ona Statement. date: September 21, 2021 Page2 cor DETAILED BILLING INFORMATION aR ERT R TE aE aaa A EEE POETS ERTS EEA THES mae he AAEM EAA EA ASKS PEE AAP SETTER SOAR aaa e TA ee eee nae aes Waier Service ‘Reading Aug 18,2021 Sep 15, 2021 | 90.00 4248.00 4338.00 Meter Number: PCN- Y0536232-1 Service Category: WTR1 Base service charge 30.33. Summer Commercial 80.00 CCF @ $6.86 per CCF 617.40 15.5% of water bills are paid to city taxes.and 1.5% to state taxes. Current Water Service: 647.73 Sewer Service Aug 18,2021 Sep 15, 2021 22,00 381.00 403.00 Meter Number: MAS-08151101-1 Aug 18, 2021 Sep 15,2021 90.60 '4248:00 4338.00. Meter Number: PCN- ¥0536232-1 Service Category: WTR1 Commercial Service 68.00 CCF @ $16.67 per CCF 1,133.56 62.0% of sewer ravenue is paid fo King County Metro for sewage treatment. 12.0% of sewer bills are paid to city taxes and 1.2% to state taxes. Current Sewer Service: 1,133.56 Solid Waste Service Service To _ | Aug 01,2021 Aug 31,2021 1-Recycle: 90 Gal1X Every Other 0.00 . ‘Week Aug 01,2021 Aug31,2021 1-Recycle Dumpster 2 Yd 1X 0.00 Weekly PvESKE RA PUR PE PEASE NCEE ETL Esa ER EET EER CTE Pew hee EE Ped Praha SKATERS EE RS PESER EASE EMER HET EE Sew ETE awed Teed eh PUANC HU AEA EN eERAcLenvecee rebel raged ad PROM PU EMER ROSE NGS RE NOSED ED EEEAEGES CITY OF SEATTLE Account Number 8513650000 TAYLOR CONDO HOA PROPVIVO 2018 156TH AVENE BELLEVUE WA 98007-3825 Property Owner TAYLOR CONDO HOA Service Addrass 1511-25 TAYLOR: AVE N Seattle Public Utilities Bill ootsoe Statement date: September 21, 2021 Page'3 | py 851126686485 DETAILED BILLING INFORMATION (continued from page 2)... Aug 01,2021 Aug31,2021 Recycle Secure Building Fee 27.28 11.9% of solid waste bills are paid to. city taxes. and 4.0% to state taxes. Current Solid Waste Service: 27.28 CURRENT BILLING: 1,808.57 For every $10.00 ofa customer's bill, approximately $1.80 goes fo faxes.",invoices
3.0,"account number  due date  amount due  39779 -43653 10/15/2021 $179.80  name  parkhaven hoa  service address  rpl lot 86 -planter strips irrigation b  meter  previous  reading  present  usage  unit  bill date  8575  8631  56  1  09/30/2021  consumption history in 100 cubic feet  month/year  #days  water usage  sep 21  33  56  aug21  30  71  jul 21  32  61  jun 21  31  27  may21  29  0  apr21  31  0  mar21  29  2  feb21  30  0  jan 21  33  0  dec20  29  0  nov20  30  0  oct20  28  41  sep20  34  94  previous balance  charges:  $266.65  payments/credits/payment reversals:  $(266.65)  adjustments:  $0.00  total previous balance:  $0.00  current charges  new account charges:  $0.00  water base rate:  $14.60  water consumption charge  $165.20  sewer base:  $0.00  other service charges:  $0.00  other service adjustments:  $0.00  total current charges:  $179.80  total amount due:  $179.80  account messages  winter water per unit rate: $2.95 per 100 cf of water; september 1, 2021 through april 30, 2022.  slwsd autopay  www.slwsd.com  59818074  please see reverse side for ,mportarit informr1tion.  nue date  account number  10/15/2021  39779 -43653  amount due  amount enclosed  $179.80  bills may be paid at district office or by credit/debit card at www.slwsd.com  3 i 16 - parkhaven hoa  c/0 propvivo  2018 156th ave ne  bellevue wa 98007-3825  page 2 of 7  thank you for being on auto pay  this stub ensures that your payment is processed accurately. please return nus part 'with your payment ",invoices
4.0,"account r,umbe'r  ouf oatł  amount due  39782 -43653  10/15/2021  $489.55  meter  previous  reading  present  usage  unit  6!u.date.  6884  7045  161  1  09/30/2021  consumption history in 100 cubic feet  month /year  #days  water usage  sep 21  33  161  aug21  30  191  jul 21  32  112  jun 21  31  40  may 21  29  0  apr21  31  0  mar21  29  2  feb 21  30  0  jan 21  33  0  dec20  29  0  nov20  30  0  oct20  28  68  sep20  34  142  previous balance  charges:  $692.65  pay me nts/cred its/payment reversals:  $(692.65)  adjustments:  $0.00  total previous balance:  $0.00  current charges  new account charges:  $0.00  water base rate:  $14.60  water consumption charge  $474.95  sewer base:  $0.00  other service charges:  $0.00  other service adjustments:  $0.00  total current charges:  $489.55  total amount due:  $489.55  account łessages  winter water per unit rate: $2.95 per 100 cf of water; september 1, 2021 through april 30, 2022.  slwsd autopay  sdt;& sewer district ,ł 15205-41stave. se bothell, wa 98012-6114 piease er.eek łox ii you hwe lpch1teo yc,i; account mf::jrma!;on on lhr. back page.  www.slwsd.com  59818075  3 / 17 -- parkhaven hoa  c/0 propvivo  2018 156th ave ne  bellevue wa 98007-3825  page 3 of 7  pl1łase see reverse side for important information  due date  account number  10/15/2021  39782 -43653  amount !jue  amount efllcloseo  $489.55  bills may be paid at district office or by credit/debit caro at www.slwsd.com  please make chocks payabie to ,.  thank you for being on auto pay  this stub ensures that your payment ls processed accurately please return this part with your payment ",invoices
5.0,"account number  due date  amount due  39884 -43653 10/15/2021 $94.25  name  parkhaven hoa  service address  meter  previous  nw crnr 170th  reading  present  pl se &  usage  42nd dr se  unit  bothell  bill date  2146  2173  27  1  09/30/2021  consumption history in 100 cubic feet  month/year  #days  water usage  sep 21  33  27  aug 21  30  31  jul21  32  36  jun 21  31  18  may21  29  0  apr21  31  0  mar21  29  1  feb 21  30  0  jan 21  29  0  dec 20  33  0  nov20  30  0  oct20  28  20  sep20  34  30  previous balance  charges:  $124.65  payments/credits/payment reversals:  $(124.65)  adjustments:  $0.00  total previous balance:  $0.00  current charges  new account charges:  $0.00  water base rate:  $14.60  water consumption charge  $79.65  sewer base:  $0.00  other service charges:  $0.00  other service adjustments:  $0.00  total current charges:  $94.25  total amount due:  $94.25  account messages  winter water per unit rate: $2.95 per 100 cf of water; september 1, 2021 through april 30, 2022.  slwsd autopay  www.slwsd.com  59818080  please sec reverse side for important lnforrnation.  due date  account number  10/15/2021  39884 -43653  #>mount due  amount enclosed  $94.25  bills may be paid at district office or by credit/debit card at www.slwsd.com  3 / 19  parkhaven hoa  c/o propvivo  2018 156th ave ne  bellevue wa 98007-3825  page 5 of 7  this stub ensures that your payrnent 1s processed accurately please return this part with your payment ",invoices
6.0,"utility billing  account number:  00151000-01  account name:  canyon park town homes  service address:  1526 192nd st se t bld  amount due:  $475.03  due date: 1211412021  water for life, forever  clean reliable water and wastewater services for a healthy community  how to pay  phone: 1-866-899-1313  online: www.awwd.com  drop off: district office or drop box  i mail: use coupon below  how to contact us  j łstomer service: 425-787-0220  =łail: help@awwd.com  district office:  phone:425-743-4605  location: 3626 156th st sw, lynnwood, wa 98087  j alerts  for emergency and other important  information, follow & like us on:  c)  @alderwoodwater  ł  @alderwoodwater  ł  alderwoodwater  ł ł -=  messages  databar form #7165 • 3/15121  3626 156th street sw, lynnwood, wa 98087-5021  electronic service requested  canyon park townhomes  250  seq  c/o suhrco  sim  24 of 25  250  4.42  2010 156th ave ne ste 100  1100  bellevue wa 98007-3826  return this coupon with your payment  utility billing  account no.:  00751000-01  total amount due:  $475.03  due date:  amount paid:  12/14/2021  1111111 hiil 11111111111111111111111111111111111111111111111111111111111111111ll1111111111111111111111111111111  alderwood water & wastewater district  3626 156th street sw  lynnwood wa 98087-5021  111111 i• •111ii11111111111ll11!111ill• ii 111111111111iii i• 11111111 i  0075100001 12142021 00047503  billing details  --accpunt no.: 001s1000-01  s81""£ic8 address: 1526192nd st set blo --------ł  bill type: regular acct type: multl family  bill date: 1112312021  water charges  rate  usage  charges  water base charge  74.14  water base tier  0.000000  10  0.00  water tier 1  2.610000  25  65.25  water tier 2  3.160000  1  3.16  sewer charges  sewer charges  332.48  billing summary  previous balance  $466.65  payment 10/13/2021  $-466.65  balance forward  $0.00  current charges  $475.03  total amount due  $475.03  average daily charge $7.09  i water usage history  meter history  nł:ł l  water  present  present  previous  (1 ccf =748 gallons)  0046102508  11/15/2021  09/09/2021  67  1684  1648  36  (26,928 gallons)  do you have an address change?  please contact our customer service department:  gogreen  sign up for paperless billing at awwd.com:  email help@awwd.com or  call 425-787-0220  login or create an account and  select ""paperless"" ",invoices
7.0,"account number:  00111000-01  account name:  canyon park town homes  service address:  1526 192nd st se bld f  amount due:  $650.48  water for life, forever  clean reliable water and wastewater services for a healthy community  phone: 1-866-899-1313  i  online: www.awwd.com  drop off: district office or drop box  mail: use coupon below  how to contact us  customer service: 425-787-0220  email: help@awwd.com  district office:  phone:425-743-4605  location: 3626 156th st sw, lynnwood, wa 98087  alerts  for emergency and other important information, follow & like us on:  b @alderwoodwater ,_ @alderwoodwater  ł alderwoodwater  messages  -databar form #7165 -3/15121  return this coupon with your payment  alderwood water & wastewater district  utility billing  3626 156th street sw, lynnwood, wa 98087-5021  account no.:  00771000-01  total amount due:  $650.48  due date:  amount paid:  12/14/2021  electronic service requested  1mmm11llimm11lli1mm111ł1m1u  canyon park townhomes  248  seq  c/o suhrco  stm  22 of 25  25d  4.42  2010 156th ave ne ste 100 bellevue wa 98007-3826  1100  alderwood water & wastewater district 3626 156th street sw  lynnwood wa 98087-5021  1111111 ••1•11111111111l11ll1l1 •1 •lll•ll•11111111111llll 1ll11•1•11  0077100001 12142021 00065048  water charges  usage charges  water base charge 74.14 water base tier 0.000000 10 0.00 water tier 1 2.610000 25 65.25 water tier 2 3.160000 18 56.88  @] billing summary  previous balance $497.99 payment 10/13/2021 $-497.99  balance forward $0.00 current charges $650.48  total amount due $650.48  i  average daily charge $9.71  ojmeter history  e łer  łer  _ . • r_oa_t_es__  water present  0046102594 11/15/2021 09/09/2021 67  do you have an address change?  - q sewer charges sewer charges 454.21  0] water usage history  previous  1635 53  .ll'j gogreen  please contact our customer service department:  sign up for paperless billing at awwd.com:  email help@awwd.com or  call 425-787-0220  login or create an account and  select ""paperless"" ",invoices
8.0,"utility billing  account number:  00755000-01  account name:  canyon park townhomes  service address:  1526 192nd st se bld r  amount due:  $458.82  due date: 12/14/2021  water for life, forever  online: www.awwd.com  drop off: district office or drop box  ł  mail: use coupon below  phone: 1-866-899-1313  for emergency and other important information, follow & like us on:  b @alderwoodwater  '-i @alderwoodwater  ł alderwoodwater  how to contact us  messages  customer service: 425-787-0220  email: help@awwd.com  district office:  phone:425-743-4605  location: 3626156th st sw, lynnwood, wa 98087  .. -databar form #7165 -3/15/21  alderwood water & wastewater district  3626 156th street sw, lynnwood, wa 98087-5021  return this coupon with your payment  utility billing  account no.:  00755000-01  total amount due:  $458.82  due date:  amount paid:  12/14/2021  electronic service requested  111111111111 lllll lllll 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111  canyon park townhomes  234  seq  c/o suhrco  sim  8 of 25  25d  4.42  2010 156th ave ne ste 100 bellevue wa 98007-3826  1100  alderwood water & wastewater district 3626 156th street sw  lynnwood wa 98087-5021  111111 i• •1•11111111 ii 1111 ii tit• i, ill• ii •111h1111111111-1111•1•11  0075500001 12142021 00045882  water charges  sewer charges  rate  usage  charges  water base charge  74.14  water base tier  0.000000  10  0.00  water tier 1  2.610000  20  52.20  sewer charges  332.48  @] billina summarv  i previol__  $432.72  payment 10/13/2021  $-432.72  balance forward  $0.00  current charges  $458.82  total amount due  $458.82  average daily charge $6.85  water usaae historv  1 meter history  łeter  number  i jad dates  . beter readings  water  present  present  previous  - f(1 ccf =748 gallons)  0046102496  11/15/2021  09/09/2021  67  1484  1454  30  (22,440 gallons)  do you have an address change?  please contact our customer service department  email help@awwd.com or  call 425-787-0220  gogreen  sign up for paperless billing at awwd.com:  login or create an account and select ""paperless"" ",invoices
9.0,"STANFORD, MUNKO & CO., P.L.L.C. Certified Public Accountants 5720 204TH ST SW, STE 100 LYNNWOOD, WA 98036-7554 TAYLOR CONDOMINIUM HOMEOWNER ASSOCATION C/O LONGLEY PROPERTY MANAGEMENT INC 4850 CALIFORNIA AVE SW STE 200A SEATTLE, WA 98116-4400 November 23, 2021 Client Number: 6BHTAYCON Amount Accounts receivable transactions 8/9/2021 BALANCE AS PREVIOUSLY BILLED FOR THE AUDIT OF THE FINANCIAL $1,700.00 STATEMENTS AND PREPARATION OF FEDERAL INCOME TAX RETURN FOR THE YEAR ENDED DECEMBER 371, 2020. Net charges and payments applied $1,700.00 Balance due $1,700.00 For your convenience we accept cash, check, debit/credit or payments through PayPal. Please include the client number on remittance: 6HTAYCON",invoices
